frame.time_relative,frame.len,sll.pkttype,sll.hatype,sll.unused,sll.etype,ip.version,ip.hdr_len,ip.dsfield,ip.dsfield.dscp,ip.len,ip.flags,ip.flags.df,ip.ttl,ip.proto,Label
2.670388,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.67046,1468,0,1,0,0x0800,4,20,0x00,0,1452,0x00,0,56,6,0
2.670465,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.670596,1468,0,1,0,0x0800,4,20,0x00,0,1452,0x00,0,56,6,0
2.6706,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.670732,1468,0,1,0,0x0800,4,20,0x00,0,1452,0x00,0,56,6,0
2.670737,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.670879,1341,0,1,0,0x0800,4,20,0x00,0,1325,0x00,0,56,6,0
2.670884,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.671048,84,4,1,0,0x0800,4,20,0x00,0,68,0x40,1,64,17,0
2.673221,114,0,1,0,0x0800,4,20,0x00,0,98,0x00,0,56,6,0
2.673237,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.673354,114,4,1,0,0x0800,4,20,0x00,0,98,0x40,1,64,6,0
2.67997,268,4,1,0,0x0800,4,20,0x00,0,252,0x40,1,64,6,0
2.685949,76,0,1,0,0x0800,4,20,0x00,0,60,0x40,1,225,6,0
2.68598,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.68784,585,4,1,0,0x0800,4,20,0x00,0,569,0x40,1,64,6,0
2.700672,1401,0,1,0,0x0800,4,20,0x00,0,1385,0x40,1,56,17,0
2.700738,1401,0,1,0,0x0800,4,20,0x00,0,1385,0x40,1,56,17,0
2.700848,86,4,1,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.702712,1401,0,1,0,0x0800,4,20,0x00,0,1385,0x40,1,56,17,0
